1,Accounting ,Accounting 
2,Acturial / Statistics,Acturial / Statistics
3,Advertising / Creative Design,Advertising / Creative Design
4,Architect / Interior Designer,Architect / Interior Designer
5,Auditor,Auditor
6,Bio Technologiest,Bio Technologiest
7,Chef / Cook,Chef / Cook
8,Clerical / General Admin,Clerical / General Admin
9,Consultant,Consultant
10,Service Counter,Service Counter
11,Customer Service,Customer Service
12,Editor,Editor
13,Engineer - Maintenance,Engineer - Maintenance
14,Engineering  - Aviation,Engineering  - Aviation
15,Engineering  - Telecommunication,Engineering  - Telecommunication
16,Engineering - Agriculture,Engineering - Agriculture
17,Engineering - Chemical,Engineering - Chemical
18,Engineering - Electrical,Engineering - Electrical
19,Engineering - Electronic,Engineering - Electronic
20,Engineering - Environmental,Engineering - Environmental
21,Engineering - Industry Engineering,Engineering - Industry Engineering
22,Engineering - Marine,Engineering - Marine
23,Engineering - Mechnical / Automotive,Engineering - Mechnical / Automotive
24,Engineering - Others,Engineering - Others
25,Entertainment,Entertainment
26,General Worker,General Worker
27,Geology / Geophysics,Geology / Geophysics
28,Helpdesk / Frontdesk,Helpdesk / Frontdesk
29,Human Resources,Human Resources
30,Inspection Officer,Inspection Officer
31,IT - Hardware,IT - Hardware
32,IT - Network / System / Database,IT - Network / System / Database
33,IT - Software,IT - Software
34,Journalist,Journalist
35,Labotaries,Labotaries
36,Lawyer / Legal Service,Lawyer / Legal Service
37,Lecturer,Lecturer
38,Marketing Support,Marketing Support
39,Material Control,Material Control
40,Medical - Doctor,Medical - Doctor
41,Medical - Nurse,Medical - Nurse
42,Medical - Support,Medical - Support
43,Medical - Surgeon,Medical - Surgeon
44,Operation Support - Site,Operation Support - Site
45,Operational Support - Office,Operational Support - Office
46,Others,Others
47,Principle,Principle
48,Process Control,Process Control
49,Public Relation,Public Relation
50,Quality Control,Quality Control
51,Quantity Surveying,Quantity Surveying
52,Real Estate,Real Estate
53,Sales / Marketing,Sales / Marketing
54,Sales Support,Sales Support
55,Secretarial,Secretarial
56,Ship - General Worker,Ship - General Worker
57,Ship - Officer,Ship - Officer
58,Social Service,Social Service
59,Teacher,Teacher
60,Technician,Technician
61,Telemarketing /Telesales,Telemarketing /Telesales
62,Top Level Management,Top Level Management
63,Trainer,Trainer
64,Vetenarian,Vetenarian
